wavelength nm,irradiance W/m^2/nm
379.4,0.026053186
379.777,0.02812681
380.154,0.027635802
380.53,0.026134208
380.907,0.020481417
381.284,0.0275078
381.66,0.027498255
382.037,0.02970788
382.413,0.021195972
382.79,0.026199007
383.166,0.024457777
383.542,0.022354427
383.919,0.027526056
384.295,0.02137389
384.671,0.022295789
385.047,0.021290122
385.423,0.023344656
385.799,0.022997707
386.176,0.025201893
386.552,0.022587618
386.928,0.020189019
387.303,0.019381959
387.679,0.019517826
388.055,0.017119408
388.431,0.021265294
388.807,0.022555192
389.183,0.021814344
389.558,0.021156233
389.934,0.02016487
390.309,0.022919729
390.685,0.022998456
391.061,0.021539849
391.436,0.018246975
391.811,0.018730404
392.187,0.016290476
392.562,0.016097817
392.938,0.0159448
393.313,0.01491568
393.688,0.018254938
394.063,0.018992645
394.438,0.018141572
394.814,0.016514397
395.189,0.012653192
395.564,0.019257954
395.939,0.017340409
396.314,0.016444935
396.689,0.016482267
397.063,0.01630837
397.438,0.01536844
397.813,0.019460669
398.188,0.015682869
398.563,0.015683622
398.937,0.017329821
399.312,0.015888424
399.686,0.013294034
400.061,0.014941332
400.435,0.017792911
400.81,0.015395474
401.184,0.017558667
401.559,0.01396461
401.933,0.014722536
402.307,0.017220798
402.682,0.012500111
403.056,0.016937749
403.43,0.012895875
403.804,0.016122866
404.178,0.01885671
404.552,0.015680137
404.926,0.013642705
405.3,0.015230705
405.674,0.013454238
406.048,0.014222434
406.422,0.015347812
406.796,0.016849657
407.169,0.012865755
407.543,0.014685633
407.917,0.009691283
408.291,0.015093643
408.664,0.014261981
409.038,0.011660088
409.411,0.016630321
409.785,0.013569666
410.158,0.014328303
410.531,0.013115663
410.905,0.013272219
411.278,0.012818286
411.651,0.015142897
412.025,0.013645352
412.398,0.014185679
412.771,0.014045681
413.144,0.011290929
413.517,0.013977598
413.89,0.013722781
414.263,0.013976712
414.636,0.013964247
415.009,0.012578926
415.382,0.014435291
415.755,0.01338621
416.127,0.0117508
416.5,0.01405957
416.873,0.012772693
417.245,0.012927631
417.618,0.012619398
417.991,0.012408469
418.363,0.015010347
418.736,0.012679098
419.108,0.013112088
419.48,0.013067945
419.853,0.011609302
420.225,0.011755797
420.597,0.010773507
420.97,0.011761172
421.342,0.013217102
421.714,0.01000888
422.086,0.012440542
422.458,0.013229036
422.83,0.010975866
423.202,0.013114227
423.574,0.012262124
423.946,0.011210955
424.318,0.012857974
424.69,0.01100467
425.061,0.012183104
425.433,0.011142168
425.805,0.012569705
426.177,0.010845867
426.548,0.012003765
426.92,0.011332134
427.291,0.010157946
427.663,0.013516288
428.034,0.010799721
428.406,0.009301698
428.777,0.012109817
429.148,0.011720289
429.519,0.011826201
429.891,0.011110523
430.262,0.013530763
430.633,0.009447261
431.004,0.010225329
431.375,0.01151819
