wavelength nm,irradiance W/m^2/nm
559.661,0.0045437837
560.017,0.0048331466
560.372,0.0057426712
560.728,0.0058393944
561.083,0.0058732345
561.438,0.0045088669
561.794,0.006037537
562.149,0.0055832108
562.504,0.0059404623
562.859,0.0051257942
563.215,0.0047664344
563.57,0.0053197649
563.925,0.0043114055
564.28,0.0054802252
564.635,0.0053799629
564.99,0.0052785437
565.344,0.0055996691
565.699,0.0042045434
566.054,0.0062769604
566.409,0.0042650234
566.763,0.0049448083
567.118,0.0045883748
567.473,0.0049738634
567.827,0.0038053147
568.182,0.0055174099
568.536,0.0049647511
568.891,0.0057415273
569.245,0.0050295607
569.599,0.0054150453
569.953,0.0044756597
570.308,0.0048261207
570.662,0.0049540591
571.016,0.005049558
571.37,0.0046621022
571.724,0.0049217523
572.078,0.0056632792
572.432,0.0055323832
572.786,0.0056593031
573.14,0.004823547
573.494,0.0050823881
573.847,0.0048592403
574.201,0.0044762778
574.555,0.0050598261
574.908,0.0057415251
575.262,0.0052892843
575.615,0.0055865782
575.969,0.005391586
576.322,0.0052364886
576.676,0.00666856
577.029,0.0057317852
577.382,0.0055724215
577.736,0.0054128942
578.089,0.0058414877
578.442,0.0050631796
578.795,0.005456967
579.148,0.0066701878
579.501,0.006410708
579.854,0.0063577338
580.207,0.0063635374
580.56,0.0050615803
580.913,0.0054911058
581.265,0.0062878684
581.618,0.0067263521
581.971,0.0046912299
582.324,0.0064807814
582.676,0.0051047592
583.029,0.005973327
583.381,0.0057516757
583.734,0.0055260161
584.086,0.0047738472
584.438,0.0053445705
584.791,0.0053228902
585.143,0.0054631465
585.495,0.0058413148
585.847,0.0054498865
586.2,0.0052930625
586.552,0.0050022715
586.904,0.0062927331
587.256,0.0060368666
587.608,0.0061186464
587.959,0.005688974
588.311,0.005703377
588.663,0.0057490429
589.015,0.0057622997
589.367,0.0051927997
589.718,0.0063378618
590.07,0.0054555768
590.421,0.0050890489
590.773,0.0057916738
591.124,0.0054199884
591.476,0.0054650922
591.827,0.0053724449
592.179,0.006012313
592.53,0.006024218
592.881,0.0055112913
593.232,0.0057316594
593.584,0.0043766096
593.935,0.0063204889
594.286,0.0060493711
594.637,0.0051428068
594.988,0.0050486207
595.339,0.0055931817
595.689,0.0055673751
596.04,0.006572204
596.391,0.0063324581
596.742,0.0055233075
597.092,0.0069315106
597.443,0.0062207363
597.794,0.006731396
598.144,0.0063842229
598.495,0.0064292796
598.845,0.0056087586
599.196,0.0070590622
599.546,0.0058010387
599.896,0.0051220795
600.247,0.0056716959
600.597,0.0069089783
600.947,0.0063341096
601.297,0.0052920554
601.647,0.0055195693
601.997,0.0053044169
602.347,0.0057077996
602.697,0.0068781284
603.047,0.0055345575
603.397,0.0049938298
603.747,0.0053984132
604.096,0.0059187814
604.446,0.0061424363
604.796,0.0067675659
605.145,0.0069515382
605.495,0.0057412218
605.844,0.0056347189
606.194,0.0059717979
606.543,0.0059395911
606.893,0.005423884
607.242,0.0057189444
607.591,0.0051336431
607.94,0.0068593965
608.29,0.0066062219
608.639,0.0059844957
608.988,0.006208784
609.337,0.006510097
609.686,0.0061431141
610.035,0.0085751168
610.384,0.0077621958
610.733,0.0091332159
611.081,0.0089114047
611.43,0.008357249
611.779,0.0089845411
612.127,0.0076258686
612.476,0.0071833235
612.825,0.0068538173
613.173,0.007039023
613.522,0.0069714088
613.87,0.0070495352
614.218,0.0077225418
614.567,0.0069470582
614.915,0.0058054843
615.263,0.0063629801
615.611,0.0050732615
615.96,0.0068928224
616.308,0.0068609811
616.656,0.006529316
617.004,0.0050085718
617.352,0.0058682709
617.7,0.0067667257
618.047,0.0063967777
618.395,0.0064399828
618.743,0.0067464726
619.091,0.0060442624
619.438,0.0066481309
619.786,0.0060909781
620.134,0.0059061326
620.481,0.0061386702
620.829,0.0071236793
621.176,0.0063036746
621.523,0.0064223624
621.871,0.0060168124
622.218,0.0062827176
622.565,0.0058726511
622.912,0.0053871012
623.259,0.0056925568
623.607,0.0059284044
623.954,0.0061653733
624.301,0.0055634775
624.648,0.0066320692
624.994,0.0067145147
625.341,0.005469192
625.688,0.0064277877
626.035,0.0065958506
626.382,0.0067591109
626.728,0.0064252411
627.075,0.006784657
627.421,0.0062990007
627.768,0.0053049088
628.114,0.0069375876
628.461,0.0062949303
628.807,0.0055707066
629.154,0.0056227104
629.5,0.0059053643
629.846,0.0057990683
630.192,0.0053399946
630.538,0.0064483347
630.884,0.0072829062
631.231,0.0067083036
631.577,0.0060548739
631.922,0.0068592186
632.268,0.004102414
632.614,0.0064865738
632.96,0.0065364439
633.306,0.00635483
633.651,0.0062903142
633.997,0.0052255417
