wavelength nm,irradiance W/m^2/nm
548.26,0.0300662707
548.617,0.0278324204
548.974,0.0269040989
549.331,0.0264082902
549.687,0.0268033061
550.044,0.0247869038
550.401,0.0248357296
550.758,0.0238496857
551.114,0.0260052561
551.471,0.0240396092
551.828,0.0240279598
552.184,0.0238533085
552.541,0.022244947
552.897,0.0214946191
553.254,0.0209771074
553.61,0.0212302981
553.966,0.0203571299
554.323,0.020356562
554.679,0.0204103574
555.035,0.0192346334
555.391,0.0183090786
555.747,0.0186009586
556.103,0.0186678141
556.459,0.0177797196
556.815,0.0190814861
557.171,0.017964817
557.527,0.0166491523
557.883,0.0166707721
558.239,0.0153947335
558.594,0.0158477212
558.95,0.0148983378
559.306,0.0162630468
559.661,0.0151528945
560.017,0.0141987601
560.372,0.015789333
560.728,0.0147142
561.083,0.0152053277
561.438,0.0147870864
561.794,0.0140713373
562.149,0.0136836437
562.504,0.0136172345
562.859,0.0143612375
563.215,0.0127957952
563.57,0.0121799339
563.925,0.0132836449
564.28,0.0128577233
564.635,0.0130783745
564.99,0.0120299534
565.344,0.0121199176
565.699,0.0123461253
566.054,0.0115934388
566.409,0.0120415668
566.763,0.0124936587
567.118,0.0101284134
567.473,0.0110284343
567.827,0.0100489711
568.182,0.0107882033
568.536,0.0105557761
568.891,0.0117862273
569.245,0.0104912719
569.599,0.0099377783
569.953,0.0095768556
570.308,0.0095354154
570.662,0.0101460056
571.016,0.0091117011
571.37,0.0092719949
571.724,0.0092428852
572.078,0.010113277
572.432,0.0096585211
572.786,0.0094617285
573.14,0.0088211763
573.494,0.0084357457
573.847,0.0084078491
574.201,0.0094813881
574.555,0.0084841502
574.908,0.0082305872
575.262,0.0089421503
575.615,0.0088228482
575.969,0.0092744718
576.322,0.0087356173
576.676,0.0084847163
577.029,0.0082631057
577.382,0.0085270515
577.736,0.007784291
578.089,0.0083455252
578.442,0.0086744372
578.795,0.0086473896
579.148,0.0091150041
579.501,0.0096385239
579.854,0.0082523668
580.207,0.0075733313
580.56,0.0080075308
580.913,0.0074566646
581.265,0.0075347867
581.618,0.0077124599
581.971,0.0077502494
582.324,0.0074036859
582.676,0.0085050503
583.029,0.0074946048
583.381,0.0072092135
583.734,0.00662045
584.086,0.0071337874
584.438,0.0075406315
584.791,0.0065232643
585.143,0.0069657035
585.495,0.0075471879
585.847,0.0078292585
586.2,0.0064347697
586.552,0.0069207356
586.904,0.0068997002
587.256,0.0072534443
587.608,0.0065929019
587.959,0.0069108332
588.311,0.0072345677
588.663,0.0076583395
589.015,0.0070267179
589.367,0.0066312197
589.718,0.0067154283
590.07,0.0064186027
590.421,0.0073298304
590.773,0.0071391574
591.124,0.007288599
591.476,0.0075454423
591.827,0.0065188837
592.179,0.0065696661
592.53,0.0066872799
592.881,0.007189584
593.232,0.006607504
593.584,0.0063783642
593.935,0.006777957
594.286,0.0060493711
594.637,0.0063082118
594.988,0.0058981626
595.339,0.0056996872
595.689,0.0074157677
596.04,0.0067501838
596.391,0.0064750849
596.742,0.0050589065
597.092,0.0065376289
597.443,0.0073313346
597.794,0.0064803238
598.144,0.0061326943
598.495,0.0062852853
598.845,0.0071944801
599.196,0.0068786458
599.546,0.0060176919
599.896,0.0054113102
600.247,0.00628736
600.597,0.0055679225
600.947,0.0053547075
601.297,0.0066002089
601.647,0.0063568543
601.997,0.0068706771
602.347,0.0065824102
602.697,0.0057476643
603.047,0.005571028
603.397,0.0064923322
603.747,0.0055812479
604.096,0.0059553709
604.446,0.0061058232
604.796,0.0069142118
605.145,0.0061083502
605.495,0.0066942032
605.844,0.0052679472
606.194,0.0052007088
606.543,0.0060498934
606.893,0.0058648465
607.242,0.0064538735
607.591,0.0055013053
607.94,0.0076680655
608.29,0.0060545797
608.639,0.0056532839
608.988,0.0055829213
609.337,0.0068050115
609.686,0.0081339299
610.035,0.0071743461
610.384,0.0075411145
