wavelength nm,white irradiance W / m^2 / nm
514.5,0.0582673798
514.861,0.0557407856
515.223,0.0599277048
515.584,0.059076731
515.945,0.0593812044
516.306,0.0608283741
516.667,0.0621042127
517.028,0.0639600546
517.389,0.0648969189
517.75,0.0627544268
518.11,0.0630593404
518.471,0.064294251
518.832,0.0641390821
519.193,0.0657300039
519.553,0.0644738547
519.914,0.0624751485
520.274,0.0645351915
520.635,0.0626751896
520.995,0.0631356427
521.356,0.064689907
521.716,0.0636106813
522.076,0.0629386701
522.437,0.0627060512
522.797,0.060611368
523.157,0.0594772001
523.517,0.0596156042
523.877,0.0598359758
524.238,0.0565712479
524.598,0.057426066
524.958,0.0574210104
525.317,0.0531441146
525.677,0.0540376622
526.037,0.0539452705
526.397,0.0524938432
526.757,0.0497694787
527.116,0.0492836311
527.476,0.0491236935
527.836,0.0495456584
528.195,0.047681212
528.555,0.045722597
528.914,0.0450424156
529.274,0.0473075157
529.633,0.0458416944
529.993,0.0428649742
530.352,0.0438305722
530.711,0.0418287922
531.07,0.041189734
531.429,0.0392998391
531.789,0.0383197254
532.148,0.0381670243
532.507,0.0364486644
532.866,0.0366339827
533.225,0.037016223
533.584,0.0353301324
533.942,0.0341948179
534.301,0.0349907789
534.66,0.0348846889
535.019,0.0339697488
535.377,0.0333299436
535.736,0.0319104146
536.095,0.0328945892
536.453,0.0309938728
536.812,0.0302767377
537.17,0.0316763669
537.528,0.030227213
537.887,0.0304747455
538.245,0.0277460911
538.603,0.0288949599
538.962,0.0286885782
539.32,0.029597685
539.678,0.0284751846
540.036,0.0277183929
540.394,0.0279540311
540.752,0.0271874382
541.11,0.0279805023
541.468,0.0260382539
541.826,0.0265497795
542.184,0.0259154417
542.541,0.0253192375
542.899,0.0240839062
543.257,0.0249788145
543.614,0.0253807316
543.972,0.0221618297
544.33,0.0233090071
544.687,0.0228964745
545.045,0.0237123511
545.402,0.0237873179
545.759,0.0257975244
546.117,0.0217774583
546.474,0.0210305665
546.831,0.0207954851
547.188,0.0210837235
547.546,0.0198842166
547.903,0.0186716642
548.26,0.0187765523
548.617,0.0183150799
548.974,0.0188656791
549.331,0.0163058795
549.687,0.0174543814
550.044,0.0171805202
550.401,0.0165469092
550.758,0.0170025213
551.114,0.0153303037
551.471,0.0143472731
551.828,0.0147327439
552.184,0.0143989682
552.541,0.0147543392
552.897,0.0141997302
553.254,0.013386081
553.61,0.0129232481
553.966,0.0132887369
554.323,0.0130595653
554.679,0.0129214605
555.035,0.0128891779
555.391,0.0124571417
555.747,0.0118679502
556.103,0.0123261807
556.459,0.0117340731
556.815,0.011535811
557.171,0.0110419656
557.527,0.0102197437
557.883,0.0116141817
558.239,0.0113171173
558.594,0.0103053158
558.95,0.010139112
559.306,0.0108209613
559.661,0.0102328222
560.017,0.0105180222
560.372,0.011133892
560.728,0.0106445016
561.083,0.0097040093
561.438,0.0098695018
561.794,0.0103898995
562.149,0.0099363825
562.504,0.00921978
562.859,0.0094772953
563.215,0.009018821
563.57,0.0092151798
563.925,0.0096366508
564.28,0.0088866747
564.635,0.0086220744
564.99,0.0088429501
565.344,0.0086103717
565.699,0.0077341173
566.054,0.0090263631
566.409,0.0083740461
566.763,0.0085673637
567.118,0.0085671939
567.473,0.0080760223
567.827,0.008263617
568.182,0.0081952773
568.536,0.0078350649
568.891,0.0079658352
569.245,0.0078352191
569.599,0.0077349796
569.953,0.0069879503
570.308,0.00785216
570.662,0.0081083076
571.016,0.0074614636
571.37,0.0074606363
571.724,0.0074954637
572.078,0.0066890925
572.432,0.0076538293
572.786,0.0087467858
573.14,0.0073320824
573.494,0.0077525774
573.847,0.0062403162
574.201,0.0076347024
574.555,0.0066367592
574.908,0.0061233558
575.262,0.006737902
575.615,0.0057100522
575.969,0.0066798411
576.322,0.0081787746
576.676,0.0078625194
577.029,0.0074132744
577.382,0.0077417926
577.736,0.0068037455
578.089,0.0082743818
578.442,0.0079200985
578.795,0.0066554904
579.148,0.0078049997
579.501,0.0075783332
579.854,0.0074295518
580.207,0.0075018028
580.56,0.0073468086
580.913,0.0075815164
581.265,0.0070365218
581.618,0.0078048992
581.971,0.0077768853
582.324,0.0075953047
582.676,0.0076405132
583.029,0.0076536874
583.381,0.0081635998
583.734,0.0083719985
584.086,0.0078255794
584.438,0.007101741
584.791,0.0079174985
585.143,0.0072598926
585.495,0.0069722745
585.847,0.0076889778
586.2,0.0067978865
586.552,0.0085636611
586.904,0.0083095268
587.256,0.0082610184
587.608,0.0078737329
587.959,0.0077868909
588.311,0.0084190815
588.663,0.0082998082
589.015,0.0080796655
589.367,0.0083029604
589.718,0.0077045696
590.07,0.00795986
590.421,0.0084609153
590.773,0.0099659496
591.124,0.0091162209
591.476,0.0094458763
591.827,0.0105427582
592.179,0.0097674302
592.53,0.008879349
592.881,0.0103998083
593.232,0.0093332635
593.584,0.0088300466
593.935,0.0095862756
594.286,0.0093560122
594.637,0.008491052
594.988,0.0099623301
595.339,0.0106962953
595.689,0.0118167093
596.04,0.0115491863
596.391,0.009855326
596.742,0.0119462033
597.092,0.0116859268
597.443,0.0120539035
597.794,0.010204779
598.144,0.0112297334
598.495,0.0129371542
598.845,0.011656745
599.196,0.0129341512
599.546,0.0128728961
599.896,0.0131803244
600.247,0.0135228719
600.597,0.0139698183
600.947,0.0132552466
601.297,0.014043141
601.647,0.0142130193
601.997,0.015314365
602.347,0.0143013591
602.697,0.0159873624
603.047,0.0163322019
603.397,0.0172315992
603.747,0.0169106671
604.096,0.0178135891
604.446,0.0161760467
604.796,0.0173541266
605.145,0.0178691175
605.495,0.0182339467
605.844,0.0202993812
606.194,0.0214613383
606.543,0.0208896177
606.893,0.0223913952
607.242,0.0222119136
607.591,0.0211943498
607.94,0.021628082
608.29,0.0234802772
608.639,0.0246718676
608.988,0.0247594807
609.337,0.0259645061
609.686,0.0251600614
610.035,0.0262990545
610.384,0.0304939269
610.733,0.0305555502
611.081,0.0308487589
611.43,0.033905908
611.779,0.0334282282
612.127,0.0332694612
612.476,0.032052689
612.825,0.0343544731
613.173,0.0346897453
613.522,0.0369380882
613.87,0.0377370268
614.218,0.0391794137
614.567,0.0386350118
614.915,0.0416414623
615.263,0.0428379024
615.611,0.043164162
615.96,0.0462470177
616.308,0.0464310224
616.656,0.0487559808
617.004,0.050204731
